exam_id,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer
7,19,Giải bài toán: Tính thể tích CO2 cần thiết để đốt cháy 5g CH4 trong oxi (Biết phương trình phản ứng: CH4 + 2O2 → CO2 + 2H2O),A. 6.24 lít,B. 22.4 lít,C. 44.8 lít,D. 33.6 lít,B
7,20,Giải bài toán: Tính số mol của NaOH trong 200ml dung dịch NaOH 0.5M,A. 0.1 mol,B. 0.2 mol,C. 0.3 mol,D. 0.4 mol,B
7,21,Kim loại nào có nhiệt độ nóng chảy thấp nhất?,Hg,Fe,Cu,Zn,A
7,22,Hợp chất nào có liên kết cộng hóa trị?,NaCl,H2O,CO2,Fe2O3,B
7,23,Nguyên tố nào có bán kính nguyên tử lớn nhất?,Li,Na,K,Rb,D
7,24,Kim loại nào phản ứng với nước ở nhiệt độ thường?,Na,K,Ca,Fe,A
7,25,Giải bài toán: Tính khối lượng của NaCl sinh ra khi cho 5g Na tác dụng với Cl2,A. 9g,B. 8g,C. 10g,D. 7g,A
7,26,Hợp chất nào không dẫn điện?,CH4,NaCl,NaOH,KOH,A
7,27,Chất nào là ankan?,CH4,C2H4,C2H2,C6H6,A
7,28,Giải bài toán: Tính thể tích H2O (lít) cần để pha chế dung dịch HCl 1M từ dung dịch HCl 2M,A. 0.5 lít,B. 1 lít,C. 2 lít,D. 3 lít,A
7,29,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np³?,N,P,As,S,A
7,30,Hợp chất nào là muối?,NaCl,HCl,NaOH,CO2,A
7,31,Nguyên tố nào có số oxi hóa cao nhất là +7?,Cl,S,P,N,A
7,32,Hợp chất nào có tính bazơ mạnh?,NaOH,KOH,Ca(OH)2,Al(OH)3,A
7,33,Giải bài toán: Tính số mol của NaOH trong dung dịch NaOH có nồng độ 0.4M trong 100ml,A. 0.04 mol,B. 0.1 mol,C. 0.2 mol,D. 0.3 mol,B
7,34,Chất nào là khí hiếm?,He,Ne,Ar,Xe,A
7,35,Kim loại nào phản ứng với dung dịch HCl?,Cu,Zn,Fe,Na,A
7,36,Giải bài toán: Tính số mol của NaCl trong 300g NaCl,A. 5 mol,B. 6 mol,C. 7 mol,D. 8 mol,C
7,37,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np⁶?,Cl,F,O,N,A
7,38,Hợp chất nào là oxit bazơ?,Na2O,SO2,CaO,MgO,A
7,39,Giải bài toán: Tính thể tích O2 cần để đốt cháy 6g Mg trong oxi (Biết phương trình: Mg + O2 → MgO),A. 1.12 lít,B. 2.24 lít,C. 4.48 lít,D. 6.24 lít,B
7,40,Giải bài toán: Tính số mol của NaOH trong dung dịch NaOH có nồng độ 0.5M trong 250ml,A. 0.125 mol,B. 0.2 mol,C. 0.3 mol,D. 0.4 mol,B

8,1,Kim loại nào là kim loại kiềm?,Na,K,Cs,Rb,A
8,2,Nguyên tố nào có số proton là 15?,P,S,Si,Cl,A
8,3,Chất nào là axit mạnh?,HCl,H2SO4,NaOH,CO2,A
8,4,Nguyên tố nào thuộc nhóm VIIA?,Cl,F,Br,I,A
8,5,Kim loại nào phản ứng mạnh với nước?,Na,K,Ca,Fe,B
8,6,Hợp chất nào là muối?,NaCl,NaOH,CO2,H2O,A
8,7,Giải bài toán: Tính thể tích H2 sinh ra khi cho 0.3mol Na tác dụng với nước. (Biết phương trình phản ứng: 2Na + 2H2O → 2NaOH + H2),A. 1.12 lít,B. 2.24 lít,C. 4.48 lít,D. 11.2 lít,B
8,8,Chất nào là chất điện li mạnh?,NaCl,H2SO4,KOH,NaOH,A
8,9,Giải bài toán: Tính số mol NaOH có trong 150ml dung dịch NaOH 3M,A. 0.45 mol,B. 0.3 mol,C. 0.2 mol,D. 0.5 mol,B
8,10,Giải bài toán: Tính thể tích CO2 sinh ra khi đốt cháy 2g CH4 trong oxi. (Biết phương trình: CH4 + 2O2 → CO2 + 2H2O),A. 11.2 lít,B. 22.4 lít,C. 33.6 lít,D. 44.8 lít,B
8,11,Nguyên tố nào có độ âm điện lớn nhất?,F,O,Cl,N,A
8,12,Kim loại nào dẫn điện tốt nhất?,Cu,Ag,Zn,Fe,B
8,13,Giải bài toán: Tính khối lượng NaOH cần thiết để trung hòa 100ml dung dịch HCl 1M,A. 4g,B. 5g,C. 10g,D. 2g,A
8,14,Nguyên tố nào có bán kính nguyên tử nhỏ nhất?,O,F,Cl,H,A
8,15,Kim loại nào không phản ứng với H2SO4 loãng?,Cu,Fe,Zn,Na,A
8,16,Giải bài toán: Tính số mol của K2SO4 trong 150g K2SO4,A. 0.25 mol,B. 0.5 mol,C. 1 mol,D. 2 mol,B
8,17,Chất nào là muối?,NaCl,CuSO4,NaOH,HCl,A
8,18,Hợp chất nào có tính lưỡng tính?,Al2O3,Na2O,CaO,CO2,A
8,19,Giải bài toán: Tính thể tích CO2 cần thiết để đốt cháy 7g CH4 trong oxi (Biết phương trình phản ứng: CH4 + 2O2 → CO2 + 2H2O),A. 11.2 lít,B. 22.4 lít,C. 33.6 lít,D. 44.8 lít,C
8,20,Giải bài toán: Tính số mol của NaOH trong 300ml dung dịch NaOH 0.25M,A. 0.075 mol,B. 0.2 mol,C. 0.3 mol,D. 0.1 mol,A
8,21,Kim loại nào có nhiệt độ nóng chảy thấp nhất?,Hg,Fe,Cu,Zn,A
8,22,Hợp chất nào có liên kết cộng hóa trị?,NaCl,H2O,CO2,Fe2O3,B
8,23,Nguyên tố nào có bán kính nguyên tử lớn nhất?,Li,Na,K,Rb,D
8,24,Kim loại nào phản ứng với nước ở nhiệt độ thường?,Na,K,Ca,Fe,A
8,25,Giải bài toán: Tính khối lượng của NaCl sinh ra khi cho 8g Na tác dụng với Cl2,A. 14g,B. 18g,C. 20g,D. 24g,A
8,26,Hợp chất nào không dẫn điện?,CH4,NaCl,NaOH,KOH,A
8,27,Chất nào là ankan?,CH4,C2H4,C2H2,C6H6,A
8,28,Giải bài toán: Tính thể tích H2O (lít) cần để pha chế dung dịch HCl 0.5M từ dung dịch HCl 1M,A. 1 lít,B. 2 lít,C. 3 lít,D. 4 lít,A
8,29,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np³?,N,P,As,S,A
8,30,Hợp chất nào là muối?,NaCl,HCl,NaOH,CO2,A
8,31,Nguyên tố nào có số oxi hóa cao nhất là +7?,Cl,S,P,N,A
8,32,Hợp chất nào có tính bazơ mạnh?,NaOH,KOH,Ca(OH)2,Al(OH)3,A
8,33,Giải bài toán: Tính số mol của NaOH trong dung dịch NaOH có nồng độ 0.2M trong 500ml,A. 0.1 mol,B. 0.2 mol,C. 0.3 mol,D. 0.4 mol,B
8,34,Chất nào là khí hiếm?,He,Ne,Ar,Xe,A
8,35,Kim loại nào phản ứng với dung dịch HCl?,Cu,Zn,Fe,Na,A
8,36,Giải bài toán: Tính số mol của NaCl trong 100g NaCl,A. 2 mol,B. 4 mol,C. 6 mol,D. 8 mol,B
8,37,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np⁶?,Cl,F,O,N,A
8,38,Hợp chất nào là oxit bazơ?,Na2O,SO2,CaO,MgO,A
8,39,Giải bài toán: Tính thể tích O2 cần để đốt cháy 10g Mg trong oxi (Biết phương trình: Mg + O2 → MgO),A. 1.12 lít,B. 2.24 lít,C. 4.48 lít,D. 6.24 lít,B
8,40,Giải bài toán: Tính số mol của NaOH trong dung dịch NaOH có nồng độ 0.5M trong 500ml,A. 0.25 mol,B. 0.3 mol,C. 0.5 mol,D. 0.7 mol,A

9,1,Kim loại nào là kim loại kiềm?,Na,K,Cs,Rb,A
9,2,Nguyên tố nào có số proton là 12?,Mg,Si,Cl,Na,A
9,3,Chất nào là axit mạnh?,HCl,H2SO4,NaOH,CO2,A
9,4,Nguyên tố nào thuộc nhóm VIIA?,Cl,F,Br,I,A
9,5,Kim loại nào phản ứng mạnh với nước?,Na,K,Ca,Fe,B
9,6,Hợp chất nào là muối?,NaCl,NaOH,CO2,H2O,A
9,7,Giải bài toán: Tính thể tích H2 sinh ra khi cho 0.4mol Na tác dụng với nước. (Biết phương trình phản ứng: 2Na + 2H2O → 2NaOH + H2),A. 1.12 lít,B. 2.24 lít,C. 4.48 lít,D. 11.2 lít,C
9,8,Chất nào là chất điện li mạnh?,NaCl,H2SO4,KOH,NaOH,A
9,9,Giải bài toán: Tính số mol NaOH có trong 300ml dung dịch NaOH 0.4M,A. 0.12 mol,B. 0.13 mol,C. 0.15 mol,D. 0.2 mol,B
9,10,Giải bài toán: Tính thể tích CO2 sinh ra khi đốt cháy 3g CH4 trong oxi. (Biết phương trình: CH4 + 2O2 → CO2 + 2H2O),A. 11.2 lít,B. 22.4 lít,C. 33.6 lít,D. 44.8 lít,C
9,11,Nguyên tố nào có độ âm điện lớn nhất?,F,O,Cl,N,A
9,12,Kim loại nào dẫn điện tốt nhất?,Cu,Ag,Zn,Fe,B
9,13,Giải bài toán: Tính khối lượng NaOH cần thiết để trung hòa 150ml dung dịch HCl 1M,A. 4g,B. 5g,C. 10g,D. 2g,A
9,14,Nguyên tố nào có bán kính nguyên tử nhỏ nhất?,O,F,Cl,H,A
9,15,Kim loại nào không phản ứng với H2SO4 loãng?,Cu,Fe,Zn,Na,A
9,16,Giải bài toán: Tính số mol của K2SO4 trong 200g K2SO4,A. 0.5 mol,B. 0.75 mol,C. 1 mol,D. 2 mol,B
9,17,Chất nào là muối?,NaCl,CuSO4,NaOH,HCl,A
9,18,Hợp chất nào có tính lưỡng tính?,Al2O3,Na2O,CaO,CO2,A
9,19,Giải bài toán: Tính thể tích CO2 cần thiết để đốt cháy 10g CH4 trong oxi (Biết phương trình phản ứng: CH4 + 2O2 → CO2 + 2H2O),A. 11.2 lít,B. 22.4 lít,C. 33.6 lít,D. 44.8 lít,D
9,20,Giải bài toán: Tính số mol của NaOH trong 400ml dung dịch NaOH 0.3M,A. 0.12 mol,B. 0.13 mol,C. 0.2 mol,D. 0.1 mol,C
9,21,Kim loại nào có nhiệt độ nóng chảy thấp nhất?,Hg,Fe,Cu,Zn,A
9,22,Hợp chất nào có liên kết cộng hóa trị?,NaCl,H2O,CO2,Fe2O3,B
9,23,Nguyên tố nào có bán kính nguyên tử lớn nhất?,Li,Na,K,Rb,D
9,24,Kim loại nào phản ứng với nước ở nhiệt độ thường?,Na,K,Ca,Fe,A
9,25,Giải bài toán: Tính khối lượng của NaCl sinh ra khi cho 6g Na tác dụng với Cl2,A. 9g,B. 12g,C. 15g,D. 17g,A
9,26,Hợp chất nào không dẫn điện?,CH4,NaCl,NaOH,KOH,A
9,27,Chất nào là ankan?,CH4,C2H4,C2H2,C6H6,A
9,28,Giải bài toán: Tính thể tích H2O (lít) cần để pha chế dung dịch HCl 0.7M từ dung dịch HCl 1M,A. 1.5 lít,B. 2 lít,C. 3 lít,D. 4 lít,A
9,29,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np³?,N,P,As,S,A
9,30,Hợp chất nào là muối?,NaCl,HCl,NaOH,CO2,A
9,31,Nguyên tố nào có số oxi hóa cao nhất là +7?,Cl,S,P,N,A
9,32,Hợp chất nào có tính bazơ mạnh?,NaOH,KOH,Ca(OH)2,Al(OH)3,A
9,33,Giải bài toán: Tính số mol của NaOH trong dung dịch NaOH có nồng độ 0.6M trong 100ml,A. 0.06 mol,B. 0.1 mol,C. 0.2 mol,D. 0.3 mol,C
9,34,Chất nào là khí hiếm?,He,Ne,Ar,Xe,A
9,35,Kim loại nào phản ứng với dung dịch HCl?,Cu,Zn,Fe,Na,A
9,36,Giải bài toán: Tính số mol của NaCl trong 200g NaCl,A. 3 mol,B. 4 mol,C. 5 mol,D. 6 mol,D
9,37,Nguyên tố nào có cấu hình electron ngoài cùng là ns²np⁶?,Cl,F,O,N,A
9,38,Hợp chất nào là oxit bazơ?,Na2O,SO2,CaO,MgO,A
9,39,Giải bài toán: Tính thể tích O2 cần để đốt cháy 8g Mg trong oxi (Biết phương trình: Mg + O2 → MgO),A. 1.12 lít,B. 2.24 lít,C. 4.48 lít,D. 6.24 lít,B
9,40,Giải bài toán: Tính số mol của NaOH trong dung dịch NaOH có nồng độ 0.3M trong 400ml,A. 0.12 mol,B. 0.1 mol,C. 0.4 mol,D. 0.5 mol,A
